date,product,price
07.02.2022,DS1621+,935
08.02.2022,DS1621+,935
09.02.2022,DS1621+,936
10.02.2022,DS1621+,969
11.02.2022,DS1621+,969
12.02.2022,DS1621+,969
13.02.2022,DS1621+,958
14.02.2022,DS1621+,969
15.02.2022,DS1621+,969
16.02.2022,DS1621+,928
17.02.2022,DS1621+,988
18.02.2022,DS1621+,988
19.02.2022,DS1621+,988
20.02.2022,DS1621+,982
21.02.2022,DS1621+,988
22.02.2022,DS1621+,988
23.02.2022,DS1621+,988
24.02.2022,DS1621+,988
25.02.2022,DS1621+,999
26.02.2022,DS1621+,979
27.02.2022,DS1621+,971
28.02.2022,DS1621+,991
01.03.2022,DS1621+,991
02.03.2022,DS1621+,991
03.03.2022,DS1621+,969
04.03.2022,DS1621+,969
05.03.2022,DS1621+,969
06.03.2022,DS1621+,969
07.03.2022,DS1621+,969
08.03.2022,DS1621+,969
09.03.2022,DS1621+,969
10.03.2022,DS1621+,969
11.03.2022,DS1621+,969
12.03.2022,DS1621+,969
13.03.2022,DS1621+,969
14.03.2022,DS1621+,969
15.03.2022,DS1621+,969
16.03.2022,DS1621+,969
17.03.2022,DS1621+,969
18.03.2022,DS1621+,969
19.03.2022,DS1621+,969
20.03.2022,DS1621+,969
21.03.2022,DS1621+,969
22.03.2022,DS1621+,969
23.03.2022,DS1621+,969
24.03.2022,DS1621+,969
25.03.2022,DS1621+,969
26.03.2022,DS1621+,969
27.03.2022,DS1621+,969
28.03.2022,DS1621+,969
29.03.2022,DS1621+,969
30.03.2022,DS1621+,969
31.03.2022,DS1621+,969
01.04.2022,DS1621+,969
02.04.2022,DS1621+,969
03.04.2022,DS1621+,969
04.04.2022,DS1621+,969
05.04.2022,DS1621+,969
06.04.2022,DS1621+,969
07.04.2022,DS1621+,969
08.04.2022,DS1621+,969
09.04.2022,DS1621+,969
10.04.2022,DS1621+,969
11.04.2022,DS1621+,969
12.04.2022,DS1621+,969
13.04.2022,DS1621+,969
14.04.2022,DS1621+,969
15.04.2022,DS1621+,969
16.04.2022,DS1621+,969
17.04.2022,DS1621+,969
18.04.2022,DS1621+,969
19.04.2022,DS1621+,969
20.04.2022,DS1621+,969
21.04.2022,DS1621+,969
22.04.2022,DS1621+,969
23.04.2022,DS1621+,969
24.04.2022,DS1621+,969
25.04.2022,DS1621+,969
26.04.2022,DS1621+,969
27.04.2022,DS1621+,969
28.04.2022,DS1621+,969
29.04.2022,DS1621+,969
30.04.2022,DS1621+,969
01.05.2022,DS1621+,969
02.05.2022,DS1621+,969
03.05.2022,DS1621+,969
04.05.2022,DS1621+,969
05.05.2022,DS1621+,969
06.05.2022,DS1621+,969
07.05.2022,DS1621+,969
08.05.2022,DS1621+,969
09.05.2022,DS1621+,969
10.05.2022,DS1621+,969
11.05.2022,DS1621+,969
12.05.2022,DS1621+,969
13.05.2022,DS1621+,969
14.05.2022,DS1621+,969
15.05.2022,DS1621+,969
16.05.2022,DS1621+,969
17.05.2022,DS1621+,969
18.05.2022,DS1621+,969
19.05.2022,DS1621+,969
20.05.2022,DS1621+,969
21.05.2022,DS1621+,969
22.05.2022,DS1621+,969
23.05.2022,DS1621+,969
24.05.2022,DS1621+,969
25.05.2022,DS1621+,969
26.05.2022,DS1621+,969
27.05.2022,DS1621+,969
28.05.2022,DS1621+,969
29.05.2022,DS1621+,969
30.05.2022,DS1621+,969
31.05.2022,DS1621+,969
01.06.2022,DS1621+,969
02.06.2022,DS1621+,982
03.06.2022,DS1621+,982
04.06.2022,DS1621+,981
05.06.2022,DS1621+,981
06.06.2022,DS1621+,981
07.06.2022,DS1621+,981
08.06.2022,DS1621+,982
09.06.2022,DS1621+,982
10.06.2022,DS1621+,993
11.06.2022,DS1621+,962
12.06.2022,DS1621+,962
13.06.2022,DS1621+,971
14.06.2022,DS1621+,971
15.06.2022,DS1621+,971
16.06.2022,DS1621+,971
17.06.2022,DS1621+,971
18.06.2022,DS1621+,971
19.06.2022,DS1621+,965
20.06.2022,DS1621+,965
21.06.2022,DS1621+,965
22.06.2022,DS1621+,965
23.06.2022,DS1621+,965
24.06.2022,DS1621+,965
25.06.2022,DS1621+,965
26.06.2022,DS1621+,965
27.06.2022,DS1621+,965
28.06.2022,DS1621+,965
29.06.2022,DS1621+,965
30.06.2022,DS1621+,970
01.07.2022,DS1621+,970
02.07.2022,DS1621+,970
03.07.2022,DS1621+,970
04.07.2022,DS1621+,970
05.07.2022,DS1621+,970
06.07.2022,DS1621+,954
07.07.2022,DS1621+,954
08.07.2022,DS1621+,954
09.07.2022,DS1621+,954
10.07.2022,DS1621+,954
11.07.2022,DS1621+,947
12.07.2022,DS1621+,947
13.07.2022,DS1621+,947
14.07.2022,DS1621+,951
15.07.2022,DS1621+,951
16.07.2022,DS1621+,951
17.07.2022,DS1621+,951
18.07.2022,DS1621+,951
19.07.2022,DS1621+,951
20.07.2022,DS1621+,951
21.07.2022,DS1621+,951
22.07.2022,DS1621+,951
23.07.2022,DS1621+,966
24.07.2022,DS1621+,961
25.07.2022,DS1621+,961
26.07.2022,DS1621+,944
27.07.2022,DS1621+,944
28.07.2022,DS1621+,944
29.07.2022,DS1621+,933
30.07.2022,DS1621+,933
31.07.2022,DS1621+,875
01.08.2022,DS1621+,875
02.08.2022,DS1621+,901
03.08.2022,DS1621+,902
04.08.2022,DS1621+,925
05.08.2022,DS1621+,925
06.08.2022,DS1621+,925
07.08.2022,DS1621+,925
08.08.2022,DS1621+,925
09.08.2022,DS1621+,925
10.08.2022,DS1621+,925
11.08.2022,DS1621+,925
12.08.2022,DS1621+,925
13.08.2022,DS1621+,934
14.08.2022,DS1621+,929
15.08.2022,DS1621+,925
16.08.2022,DS1621+,925
17.08.2022,DS1621+,925
18.08.2022,DS1621+,925
19.08.2022,DS1621+,925
20.08.2022,DS1621+,926
21.08.2022,DS1621+,926
22.08.2022,DS1621+,925
23.08.2022,DS1621+,925
24.08.2022,DS1621+,925
25.08.2022,DS1621+,918
26.08.2022,DS1621+,918
27.08.2022,DS1621+,918
28.08.2022,DS1621+,923
29.08.2022,DS1621+,923
30.08.2022,DS1621+,922
31.08.2022,DS1621+,922
01.09.2022,DS1621+,925
02.09.2022,DS1621+,905
03.09.2022,DS1621+,905
04.09.2022,DS1621+,905
05.09.2022,DS1621+,925
06.09.2022,DS1621+,916
07.09.2022,DS1621+,916
08.09.2022,DS1621+,916
09.09.2022,DS1621+,916
10.09.2022,DS1621+,935
11.09.2022,DS1621+,898
12.09.2022,DS1621+,897
13.09.2022,DS1621+,906
14.09.2022,DS1621+,904
15.09.2022,DS1621+,891
16.09.2022,DS1621+,884
17.09.2022,DS1621+,884
18.09.2022,DS1621+,884
19.09.2022,DS1621+,884
20.09.2022,DS1621+,933
21.09.2022,DS1621+,933
22.09.2022,DS1621+,925
23.09.2022,DS1621+,925
